SPECIES,CT.POS,ORIENT,GAIT,DIST,LOIT,TRIGGER,AIR
FOX,SF,L,W,2,0,0,8.48
FOX,AP,L,W,1,0,0,8.48
FOX,SNIG,A,W,1,0,0,8.48
BADGER,SNIG,A,W,1,0,1,6.57
BADGER,FF,L,W,3,0,1,6.57
BADGER,SF,L,W,5,0,0,6.57
BADGER,AP,L,W,1,0,1,6.57
FOX,FF,L,W,3,0,1,6.57
FOX,SF,L,W,5,0,0,6.57
FOX,AP,L,W,1,0,1,6.57
FOX,SNIG,A,W,1,0,1,6.57
BADGER,FF,L,W,3,0,1,6.57
BADGER,SF,L,W,5,0,0,6.57
BADGER,AP,L,W,1,0,1,6.57
BADGER,SNIG,A,W,1,0,1,6.57
FOX,FF,L,T,3,0,1,5.24
FOX,SF,L,T,5,0,0,5.24
FOX,AP,L,T,1,0,1,5.24
FOX,SNIG,A,T,1,0,1,5.24
FOX,FF,L,W,3,0,1,5.24
FOX,SF,L,W,5,0,0,5.24
FOX,AP,L,W,1,0,1,5.24
FOX,SNIG,A,W,1,0,1,5.24
FOX,SF,L,W,1,0,1,5.45
FOX,FF,L,W,3,0,1,5.45
FOX,AP,L,W,4,0,0,5.45
FOX,SNIG,P,W,1,0,0,5.45
FOX,AP,L,W,2,0,0,5.45
FOX,SF,L,W,5,0,0,5.45
FOX,FF,A,W,1,0,1,5.45
FOX,FF,L,W,1,0,1,5.45
FOX,SF,L,W,1,0,1,5.45
FOX,AP,L,W,5,0,0,5.45
FOX,SF,L,W,5,0,0,5.45
FOX,FF,L,W,3,0,1,5.45
FOX,AP,L,W,1,0,0,5.45
FOX,SNIG,P,W,1,0,0,5.45
FOX,AP,L,W,1,0,1,5.45
FOX,SNIG,A,W,1,0,1,5.45
FOX,SNIG,L,W,1,0,1,5.45
FOX,AP,L,W,1,0,1,5.45
FOX,FF,L,W,3,0,1,5.35
FOX,SF,L,W,5,0,1,5.35
FOX,AP,L,W,1,0,0,5.35
FOX,SNIG,A,W,1,0,0,5.35
FOX,FF,L,W,3,0,1,5.45
FOX,SF,L,W,5,0,0,5.45
FOX,AP,L,W,1,0,1,5.45
FOX,SNIG,A,W,1,0,1,5.45
FOX,FF,L,W,3,1,0,6.98
FOX,SF,L,W,5,0,0,6.98
FOX,AP,L,W,1,0,0,6.98
FOX,SNIG,A,W,1,0,0,6.98
BADGER,FF,L,T,3,0,1,4.21
BADGER,SF,L,T,5,0,1,4.21
BADGER,AP,L,T,1,0,0,4.21
BADGER,SNIG,A,T,1,0,0,4.21
FOX,SNIG,P,W,1,0,0,3.58
FOX,AP,L,W,1,0,0,3.58
FOX,SF,L,W,5,0,0,3.58
FOX,FF,L,T,3,0,0,3.58
FOX,AP,L,T,3,0,0,3.58
FOX,SNIG,A,T,1,0,0,3.58
FOX,SF,L,T,3,0,0,3.58
BADGER,FF,L,T,3,0,1,2.94
BADGER,SF,L,T,5,0,0,2.94
BADGER,AP,L,T,1,0,1,2.94
BADGER,SNIG,A,T,1,0,1,2.94
BADGER,SF,A,T,1,0,0,2.94
BADGER,SNIG,P,W,3,0,0,2.94
BADGER,FF,L,W,3,0,1,2.94
BADGER,AP,L,W,1,1,1,2.73
BADGER,SNIG,P,W,1,1,1,2.73
BADGER,SF,L,W,5,1,0,2.73
BADGER,FF,L,W,3,1,1,2.73
BADGER,FF,L,T,3,0,1,2.52
BADGER,SF,L,T,3,0,0,2.52
BADGER,SNIG,A,T,1,0,1,2.52
BADGER,AP,L,T,1,0,1,2.52
FOX,FF,L,T,3,0,1,2.2
FOX,SF,L,T,5,0,1,2.2
FOX,AP,L,T,1,0,0,2.2
FOX,SNIG,A,T,1,0,0,2.2
BADGER,SNIG,P,T,1,0,1,2.2
BADGER,AP,L,T,1,0,0,2.2
BADGER,SF,L,T,5,0,0,2.2
BADGER,FF,L,T,3,0,1,2.2
BADGER,FF,L,T,3,0,1,2.2
BADGER,SF,L,T,5,0,0,2.2
BADGER,AP,L,T,1,0,1,2.2
BADGER,SNIG,A,T,1,0,1,2.2
BADGER,AP,L,W,5,0,0,2.2
BADGER,SF,L,W,1,0,0,2.2
BADGER,FF,L,W,2,0,1,2.2
FOX,SF,A,W,1,0,0,1.33
FOX,FF,L,W,3,0,0,1.33
BADGER,FF,L,T,3,1,1,1
BADGER,SF,L,T,5,0,0,1
BADGER,AP,L,W,1,0,1,1
BADGER,SNIG,A,T,1,0,1,1
FOX,SNIG,P,T,1,0,1,0.89
FOX,AP,L,T,1,0,1,0.89
FOX,SF,L,W,5,0,0,0.89
FOX,FF,L,W,4,0,1,0.89
FOX,FF,L,W,3,0,1,5.04
FOX,SF,L,W,4,0,1,5.04
FOX,AP,L,W,2,0,0,5.04
FOX,SNIG,A,W,1,0,0,5.04
FOX,FF,L,W,5,0,1,3.58
FOX,SF,L,W,4,0,1,3.58
FOX,AP,L,W,2,0,0,3.58
FOX,SNIG,A,W,1,0,0,3.58
BADGER,SNIG,P,T,1,0,1,3.58
BADGER,AP,L,T,1,0,1,3.58
BADGER,SF,L,T,5,0,0,3.58
BADGER,FF,L,T,3,0,1,3.58
BADGER,SNIG,P,T,1,0,0,2.41
BADGER,AP,L,T,1,0,1,2.41
BADGER,SF,L,T,5,0,1,2.41
BADGER,FF,L,T,3,0,1,2.41
BADGER,FF,L,T,3,1,1,1.87
BADGER,SF,L,W,5,1,0,1.87
BADGER,AP,L,W,1,1,1,1.87
BADGER,SNIG,A,W,1,1,1,1.87
FOX,FF,L,T,3,0,0,0.89
FOX,SF,L,T,5,0,0,0.89
BADGER,FF,L,W,3,0,1,0.89
BADGER,SF,L,W,5,0,0,0.89
BADGER,AP,L,W,2,0,1,0.89
