SPECIES,CT.POS,ORIENT,GAIT,DIST,RAIN,LOIT,TRIGGER,CAPTURE,AIR
BADGER,FF,L,T,3,NO,0,0,NA,5.45
BADGER,SF,L,T,6,NO,0,0,NA,5.45
BADGER,SNIG,P,T,1,NO,0,1,1,5.45
BADGER,AP,L,T,1,NO,0,1,0,5.45
BADGER,AP,L,W,1,NO,0,1,1,5.45
BADGER,FF,L,W,3,NO,0,1,1,5.45
BADGER,SF,L,W,6,NO,0,0,NA,5.45
FOX,AP,L,W,6,NO,0,0,NA,5.86
FOX,SF,L,W,1,NO,0,0,NA,5.86
FOX,FF,L,W,1,NO,0,1,0,5.86
FOX,SNIG,P,W,4,NO,0,1,1,3.16
FOX,SF,L,W,5,NO,0,0,NA,3.16
FOX,FF,L,W,2,NO,0,1,1,3.16
FOX,AP,L,W,1,NO,0,1,0,3.16
BADGER,SNIG,A,W,1,NO,0,0,NA,2.62
BADGER,FF,L,W,3,NO,0,1,1,2.62
BADGER,SF,L,W,6,NO,0,0,NA,2.62
FOX,SNIG,A,W,1,NO,0,0,NA,2.09
FOX,AP,L,W,1,NO,0,0,NA,2.09
FOX,FF,L,W,3,NO,0,1,1,2.09
FOX,SF,L,W,6,NO,0,0,NA,2.09
FOX,AP,L,W,1,NO,0,0,NA,2.09
FOX,SNIG,A,W,1,NO,0,0,NA,2.09
FOX,FF,L,W,3,NO,0,1,1,2.09
FOX,SF,L,W,6,NO,0,1,0,2.09
FOX,FF,A,W,1,NO,0,0,NA,2.09
FOX,SF,L,W,5,NO,0,0,NA,2.09
BADGER,FF,L,R,1,NO,0,1,0,2.09
BADGER,SF,L,R,1,NO,0,0,NA,2.09
BADGER,SNIG,P,W,2,NO,0,1,1,2.3
BADGER,AP,L,W,2,NO,0,1,1,2.3
BADGER,SF,L,W,6,NO,0,0,NA,2.3
BADGER,FF,L,W,3,NO,0,1,1,2.3
BADGER,SNIG,P,W,1,NO,0,1,1,2.09
